input,output
you owe me an explanation you cant treat me like this,i wanted to call i couldnt
i wanted to call i couldnt,you couldnt
you couldnt,you dont understand
you dont understand,no i dont because youre not telling me anything
no i dont because youre not telling me anything,i was in hell if i called you if i heard your voice it would have been so easy for me to quit i couldnt do that
you should have,amy im not going to let anything happen to us
amy im not going to let anything happen to us,look where we are look at yourself you son of a bitch you dont have any idea what youre putting me through
look where we are look at yourself you son of a bitch you dont have any idea what youre putting me through,i dont know what to say
i dont know what to say,youre killing me
youre killing me,dont
dont,what was i supposed to think happened to you
what was i supposed to think happened to you,amy
who are you calling,mrs christian
mrs christian,what
what,shes all ive got shes the only witness
shes all ive got shes the only witness,tom shes dead
she died in her sleep three days ago it was in the paper,i just talked to her
celebrity films,eddie
eddie,yeah whos this
yeah whos this,i know what you did
i know what you did,what
what,i know what you did
i know what you did,who is this
who is this,you murdered that girl eddie six years ago
you murdered that girl eddie six years ago,what the fuck are you
what the fuck are you,you killed that girl and you put it on film you and your pals youre fucked you fucked up real good
whats he talking about,one million dollars dino how much did he tell you he had
im gonna kill you,dont bore me with that bullshit
dont bore me with that bullshit,howd you find me here
dont ask questions,fuck you
starting to recognize a pattern,what do you want
what do you want,who is machine
who is machine,i dont know
i dont know,i want his name
i want his name,i told you i dont know
i told you i dont know,i will never get tired of hurting you eddie so you might want to change your attitude
i will never get tired of hurting you eddie so you might want to change your attitude,what the fuck am i gonna protect that freak for he was dinos boy not mine he shows up with his mask on leaves with his mask on nobody knows
okay well come back to that so six years ago a guy contacts you through the classifieds over the phone however he does it its longdale looking for a snuff film and you entrepreneur that you are tell him you can hook him up,yeah the fucking lawyer
yeah the fucking lawyer,told him you could get him a snuff film
told him you could get him a snuff film,yeah
yeah,how much did he pay you
how much did he pay you,thirty thousand each that fucking cocksucker
thirty thousand each that fucking cocksucker,thats all thirty each thats all it took for you to murder her
thats all thirty each thats all it took for you to murder her,it was a lot of fucking money
so you brought dino in and he brought machine and one day a girl walked into your office because you had an ad in the paper for models and she never walked out,something like that
something like that,what did you do knock her out shoot her up
what did you do knock her out shoot her up,what the fuck do you want from me
what the fuck do you want from me,i want to know i want to know exactly what you did to her
i want to know i want to know exactly what you did to her,fuck you then you want to know i talked her up told her how beautiful she was told her she was gonna be a star i told her i was gonna get her a screen test and while im doing that i got her a soda and dropped a mickey when it was dark enough i rang dino and told him it was go time i put her in the trunk of my car and we went and we fucking did it thats what happened shes dead shes been dead a long fucking time nobody fucking cares
show me where you did it on the map exactly where you did it,why
why,because were going there
i dont know i felt like it i never saw anyone get done before,you enjoy it
you enjoy it,made me sick but what did i care what did i care if some hump wants to beat off to that it was just something i was doing for money
made me sick but what did i care what did i care if some hump wants to beat off to that it was just something i was doing for money,tell me what happened
tell me what happened,what do you want to know you saw it you saw the loop
what do you want to know you saw it you saw the loop,nobody saw you bring her in
nobody saw you bring her in,there wasnt nobody around this place was a shithole i backed up the car to the door and we carried her in like groceries dino made her eat a bunch of pills we laid out the plastic put film in the camera and machine went to work
there wasnt nobody around this place was a shithole i backed up the car to the door and we carried her in like groceries dino made her eat a bunch of pills we laid out the plastic put film in the camera and machine went to work,what did you do with her body
what did you do with her body,took it out the bathroom window buried it in the woods
took it out the bathroom window buried it in the woods,show me
keep moving,where do you think youre taking this huh gonna be a big hero avenge that little girls death gonna make everything right with the world how you gonna do that
you cant go to the cops all you can do is cut me loose and walk away because you got nothing,stop talking
stop talking,you got absolute zero
you got absolute zero,show me where you buried her
show me where you buried her,i dont know out there somewhere
i dont know out there somewhere,where show me where
where show me where,i fucking dont know what do you think we werent burying treasure we didnt pace it out so we could come back and get it we dug a hole and we put her in it your guess is as good as mine
do it,dont think i wont
dont think i wont,do it put me out of my misery so i dont have to listen to you whining anymore you think its so easy
do it put me out of my misery so i dont have to listen to you whining anymore you think its so easy,easy enough for you
easy enough for you,i never killed anyone
you know how my tapes sell people eat this stuff up,i had three jerkoffs trying to return your tapes last month do you know how bad a skin flick has to be for some jackass to come back into my place with a fucking receipt and try to fucking return it
i had three jerkoffs trying to return your tapes last month do you know how bad a skin flick has to be for some jackass to come back into my place with a fucking receipt and try to fucking return it,maybe theres something wrong with the scumbag customers coming into your place ever think of that
maybe theres something wrong with the scumbag customers coming into your place ever think of that,the only thing wrong is the cheap softcore crap youre peddling eddie where do you get this stuff
the only thing wrong is the cheap softcore crap youre peddling eddie where do you get this stuff,look you cocksucker
look you cocksucker,get together some upscale product where the girls still have teeth in their head till then fuck you
get together some upscale product where the girls still have teeth in their head till then fuck you,fuck you
yes i do have something to say i insisted on being here as soon as i heard mrs christian contacted you,im listening
im listening,as mr christians attorney and one of the executors of his estate it concerns me that a meeting of this sort should take place without my being asked to attend
as mr christians attorney and one of the executors of his estate it concerns me that a meeting of this sort should take place without my being asked to attend,of what sort
of what sort,you are a private investigator
you are a private investigator,thats right
thats right,well whatever reasons mrs christian has for engaging the services of a private investigator i should certainly be a party to but since she feels differently i can only go on the record as having expressed my adamant disapproval
you were the middleman am i right old man christian wasnt about to go shopping for a snuff film himself,wouldnt exactly have been possible for a man of his stature
wouldnt exactly have been possible for a man of his stature,so he sent you gave you the money his errandboy and if you refused it wasnt like you could tell anyone your pervert boss just asked you to get him a snuff film thats the beauty of lawyerclient privilege
so he sent you gave you the money his errandboy and if you refused it wasnt like you could tell anyone your pervert boss just asked you to get him a snuff film thats the beauty of lawyerclient privilege,thats trust mr christian trusted me implicitly
thats trust mr christian trusted me implicitly,must have paid you a lot for you to risk everything wouldve had to have cut yourself a real nice piece of money
must have paid you a lot for you to risk everything wouldve had to have cut yourself a real nice piece of money,i was well compensated
i was well compensated,thats why you got scared when mrs christian hired me you knew about the film figured it had to be in that safe howd you find me
thats why you got scared when mrs christian hired me you knew about the film figured it had to be in that safe howd you find me,never mind how i found you
never mind how i found you,followed me must have freaked out when you saw me closing in on your buddies
followed me must have freaked out when you saw me closing in on your buddies,theyre no friends of mine
theyre no friends of mine,except youre willing commit murder with them
except youre willing commit murder with them,none of this would be happening if you would have left it alone if you werent digging up a girl who died six years ago a girl no one even remembers
none of this would be happening if you would have left it alone if you werent digging up a girl who died six years ago a girl no one even remembers,mary anne mathews that was her name her mom remembers her
you found these smut dealers and asked to buy a snuff film right wanted them to find you one well they didnt find you one longdale they went out and made you one,shut up
shut up,mary anne mathews was alive till you paid money to have her murdered
mary anne mathews was alive till you paid money to have her murdered,shut your mouth and drive
shut your mouth and drive,did it get him off huh watching them cut her up tell me because i really want to understand did he jerk off to it you watch it with him sit there giving him a handjob while you both watched
youre making me very angry,just tell me tell me some more of the secrets you and christian shared what kind of degenerate pervert was he really what the fuck did he want with a snuff film
just tell me tell me some more of the secrets you and christian shared what kind of degenerate pervert was he really what the fuck did he want with a snuff film,youre asking me why
youre asking me why,im asking
a man like mr christian a great man all his money all his power a man who attained everything there was to attain,why did he buy a film of some poor lost girl getting butchered
why did he buy a film of some poor lost girl getting butchered,isnt it incredibly obvious
isnt it incredibly obvious,enlighten me
enlighten me,because he could he did it because he could what other reason were you looking for
you almost went over your limit,fuck you
give me the film,youll get it when we get there
give me the film,go ahead shoot me then try driving to brooklyn with my brains all over the windshield
hes lying,look at him you think he played it square how much did he give you how much did he keep for himself
big date tonight,yeah guess so
yeah guess so,can i interest you in a battery operatedvagina
can i interest you in a battery operatedvagina,pardon me
pardon me,my boss tells me i have to do more suggestive selling
my boss tells me i have to do more suggestive selling,well its tempting but no thanks
well its tempting but no thanks,its your call but youre gonna be sorry when youre in one of those everyday situations that call for a batteryoperated vagina and you dont have one
its your call but youre gonna be sorry when youre in one of those everyday situations that call for a batteryoperated vagina and you dont have one,ill risk it
once you pick it up you cant put it down,catchy title what are you really reading hard to believe that books got any parts worth highlighting
truman capote,i tear off the cover and paste this one on you know how it is
i tear off the cover and paste this one on you know how it is,wouldnt want to embarrass yourself in front of your fellow perverts
wouldnt want to embarrass yourself in front of your fellow perverts,might get drummed out of the pornographers union and then where would i be
remember me,came back for that batteryoperated vagina right told you you would
i need some information thought you might be able to help,thomas welles nice picture
i dont know what youre looking for mister but so were clear from the start im straight,good for you
how long you been working there,three four years
three four years,whats your name if you dont mind me asking
whats your name if you dont mind me asking,max
max,well heres the deal max this thing im on right now has something to do with underground pornography stuff thats sold under the counter illegally
well heres the deal max this thing im on right now has something to do with underground pornography stuff thats sold under the counter illegally,theres not much illegal
theres not much illegal,well whatever there is whoevers dealing however its done i want to know i want a good look so if youve got that kind of connection great if not speak now
well whatever there is whoevers dealing however its done i want to know i want a good look so if youve got that kind of connection great if not speak now,youre not a cop are you if i ask and you are you have to tell me
youre not a cop are you if i ask and you are you have to tell me,im not a cop
im not a cop,youre a private eye like shaft
youre a private eye like shaft,not quite
not quite,from pennsylvania pi from pa what are you doing out here
from pennsylvania pi from pa what are you doing out here,well theres the thing youre not gonna know anything about what im doing but you can make some money
well theres the thing youre not gonna know anything about what im doing but you can make some money,how much
how much,how much do you make now
how much do you make now,four hundred a week off the books
four hundred a week off the books,okay lets pretend i live in the same fantasy world where you make four hundred a week in that dump ill give you six hundred for a few days
okay lets pretend i live in the same fantasy world where you make four hundred a week in that dump ill give you six hundred for a few days,sounds good pops
sounds good pops,heres my number if you need it when can you start
heres my number if you need it when can you start,tomorrow night i get off at eight
you dont need to be here,what kind of junior pi would i be if i didnt go with you
whats next,im trying to figure that out myself i have to see machine without his mask
im trying to figure that out myself i have to see machine without his mask,still dont want to tell me what youre doing
still dont want to tell me what youre doing,nope
whats this,its money people use it to purchase goods and services
look thats awful generous and everything,its not my money the woman i got it from is never going to give it a second thought lets not make a big deal out of this okay go be a race car driver go run for president whatever
mister welles youre very prompt,i try to be
uh huh pleasure,apparently mr longdale has something he feels he simply must say before you and i speak
have a pleasant evening will you have tea mister welles,thank you
hes odd,hes a lawyer please sit here
ive spoken to friends of mine and my husbands in harrisburg in lancaster and hershey asking about you i must say you have friends in influential places,ive been privileged to provide services for people i admire
ive been privileged to provide services for people i admire,you are highly recommended praised for your discretion your strict adherence to confidentiality
as you know my husband passed away recently two weeks ago now,my condolences
my condolences,his passing has left me with something of a dilemma a terrible terrible dilemma
his passing has left me with something of a dilemma a terrible terrible dilemma,ill do whatever i can to help
pittsburgh,mostly thats where he started his empire building he was a good man notorious as an eccentric but that was something he cultivated he wanted to be legendary
mostly thats where he started his empire building he was a good man notorious as an eccentric but that was something he cultivated he wanted to be legendary,he succeeded
he succeeded,we were married fortyfive years hard even for me to imagine we had our troubles there were plenty of places for him to be other than here but he was always loyal to me and i to him i loved him deeply
do you carry a gun mr welles,i wear a gun when i can tell a client expects me to other than that theres never any reason
i wear a gun when i can tell a client expects me to other than that theres never any reason,just curious
my husband was the only one with the combination to this safe i knew about it but as far as i was concerned it was none of my business not till now that is,you hired someone to open it ill bet the lawyer loved that
you hired someone to open it ill bet the lawyer loved that,there was nothing he could do my husband left everything to me i prevented anyone from seeing the contents i felt these were my husbands private things i didnt i didnt realize
there was nothing he could do my husband left everything to me i prevented anyone from seeing the contents i felt these were my husbands private things i didnt i didnt realize,do you want to tell me what you found
do you want to tell me what you found,cash stock certificates and this
its a film of a girl being murdered,im afraid i dont
im afraid i dont,this is a movie showing a girl being murdered shes sitting on a bed and a man rapes her and he begins to cut her with a knife i only watched what i could
please believe me this is probably a stag film simulated rape hard to stomach and it might seem real but there are ways of making it look realistic fake blood and special effects,no
no,if you were to study it youd see the camera cutting away youd see the tricks they can play
if you were to study it youd see the camera cutting away youd see the tricks they can play,im telling you its not that
im telling you its not that,im sure it is its probably something your husband was given as a bad joke more than likely he never even watched it
im sure it is its probably something your husband was given as a bad joke more than likely he never even watched it,will you watch it and see for yourself
will you watch it and see for yourself,of course but im certain its nothing to worry about
you you need to go to the police,i told you i cant not yet
i told you i cant not yet,you dont have any other choice
you dont have any other choice,no for me to live with the ruin of my husbands name i need know that whoever did this will be punished if you can find them i will take their names to the police ill say my husband confessed on his death bed ill say i didnt have courage to come forward at first
no for me to live with the ruin of my husbands name i need know that whoever did this will be punished if you can find them i will take their names to the police ill say my husband confessed on his death bed ill say i didnt have courage to come forward at first,it wont work like that
it wont work like that,any evidence you collect can be given to the police later anonymously ive thought about it and theres no other way if you cant find them if the only thing that comes from this film is that this is all my husband will be remembered for well i cant let that happen im telling you i wont if theres no chance that poor girls memory can be served then ill just have to spend my last days trying to forget her
i deal in divorce cases corporate investigations,youve found missing persons before
youve found missing persons before,nothing remotely like this
nothing remotely like this,i know what im asking your compensation will be appropriate to the risk youll need cash to buy information and ill provide it i feel responsible mr welles you saw what he did to her
okay,my husband never dealt with money personally certainly not cash
my husband never dealt with money personally certainly not cash,im not positive this means anything
im not positive this means anything,the checks were for odd amounts
one was for two hundred thousand one dollar and thirteen cents another was for three hundred thousand six hundred fifty four dollars and seventy six cents,okay i follow you so far
okay i follow you so far,totalled together these five checks from five different accounts they equal one million dollars
totalled together these five checks from five different accounts they equal one million dollars,youre joking
youre joking,to the penny exactly one million dollars in cash
hello,im here
im here,do you think the film could have cost that much
do you think the film could have cost that much,for a human life murder on film no statute of limitations who knows it sure could have id like you to overnight me a copy of those checks then put them in a safe deposit box
for a human life murder on film no statute of limitations who knows it sure could have id like you to overnight me a copy of those checks then put them in a safe deposit box,okay
okay,send it to me through the post office like we arranged no return address you dug this up all by yourself
send it to me through the post office like we arranged no return address you dug this up all by yourself,you told me to look so i looked
you told me to look so i looked,youre one hell of a detective mrs christian
hello,mrs christian tom welles here
mrs christian tom welles here,how are you having any luck
how are you having any luck,i dont know if lucks the word are you feeling alright
i dont know if lucks the word are you feeling alright,ive been ordered into bed the doctor says ive gotten the flu or some other wretched ailment
ive been ordered into bed the doctor says ive gotten the flu or some other wretched ailment,i hope its nothing serious
i hope its nothing serious,nothing more than a bother have you any news for me
nothing more than a bother have you any news for me,ive made progress im in manhattan once a few more pieces fall into place ill drive to you and give you an update
ive made progress im in manhattan once a few more pieces fall into place ill drive to you and give you an update,fine
ive got about five thousand left in cash but ill need another thirty if you approve,how will i get it to you
how will i get it to you,if you have a pencil and paper ill tell you how to send it
yes,hello mrs mathews my names thomas jones im a state licensed investigator
ive been hired as an independent contractor by the us resource center for missing persons as part of an internal audit if you have any time over the next few days id like to make an appointment to ask some questions about the disappearance of your daughter,i dont understand who are
i dont understand who are,im sorry let me explain the rcmp is a support organization and archive not unlike the center for missing and exploited children in washington im sure youve dealt with them before
im sorry let me explain the rcmp is a support organization and archive not unlike the center for missing and exploited children in washington im sure youve dealt with them before,yes but
yes but,these volunteer organizations are sort of interconnected functioning hand in hand with law enforcement the rcmp brought me in to review their investigations factcheck their records see if theres anything they missed anything they should be doing different im here for a few days before i head back up to virginia these reports go to the justice department eventually i spoke to your fbi contact a few days ago uh
what was the name ive got it here somewhere,neil neil cole
neil neil cole,right agent cole told me hed call and let you know to expect me he didnt call
right agent cole told me hed call and let you know to expect me he didnt call,no
no,well im following up on your daughter mary height five four weight hundred ten pounds brown eyes blonde hair born april missing june th a runaway thats how shes listed is this information correct
its very important you dont let this raise your expectations its not going to effect any ongoing efforts all im saying is please know im not here to create any false hope,they hired you youre like a private detective
they hired you youre like a private detective,thats exactly what i am
i didnt think there were private detectives anymore except on tv,you probably expect me to be wearing a trench coat and a hat drinking whiskey chasing women and getting beaten up by guys with broken noses want to know what its really like its sitting in a car and staring at a hotel window for three days straight pissing in a plastic bottle pardon me because some guy thinks his wifes cheating on him glamorous huh and the guy who hired you he has a hairlip dandruff and crooked teeth and you could have told him the minute you laid eyes on him his wifes cheating and you dont blame her
so she didnt leave a note she never gave any indication where she might go before she left,no
no,she just seemed depressed
she just seemed depressed,she didnt seem herself for months there never was any way to get her to talk about it one night we went to bed the next morning she was gone she took some clothes
she didnt seem herself for months there never was any way to get her to talk about it one night we went to bed the next morning she was gone she took some clothes,what was she running from
what was she running from,i dont know
i dont know,if theres anything you feel uncomfortable talking about tell me but i have to ask your husband he committed suicide
if theres anything you feel uncomfortable talking about tell me but i have to ask your husband he committed suicide,yes
yes,september th about a year after mary disappeared
september th about a year after mary disappeared,we were divorced by then things fell apart he was living with a friend
we were divorced by then things fell apart he was living with a friend,why do you think he did it
why do you think he did it,it got to be too much for him
it got to be too much for him,you have to forgive me but in these circumstances with your daughter were there any indications of any sort of abuse
you have to forgive me but in these circumstances with your daughter were there any indications of any sort of abuse,there wasnt anything like that the police and the fbi people asked but there wasnt anything happened like that never my husband his heart broke when mary left
there wasnt anything like that the police and the fbi people asked but there wasnt anything happened like that never my husband his heart broke when mary left,i didnt mean to
i didnt mean to,you try going through what we did bob couldnt take it thats all christ theres times when it still seems like i cant either
you try going through what we did bob couldnt take it thats all christ theres times when it still seems like i cant either,i had to ask i apologize
i had to ask i apologize,no one knows what its like you cant even imagine how much it hurts
people remember me from the news can you drive me back now,of course
i i shouldnt take anymore of your time maybe we can finish tomorrow ill call tomorrow,okay
doesnt make much sense does it when everythings happy when lifes fine and you have every reason to believe theres a god you dont bother then something horrible happens thats when you start praying all the time thats when you start going to church,were all like that
were all like that,are you religious
are you religious,no
no,you should be
ive got what i need for my report there is there is one thing that bothers me though,what
what,its not really my place but its not easy for me to set aside the private detective part of me either see i know a little about missing persons when kids run they almost always leave a note its guilt they want to say goodbye
its not really my place but its not easy for me to set aside the private detective part of me either see i know a little about missing persons when kids run they almost always leave a note its guilt they want to say goodbye,there wasnt one the police looked
there wasnt one the police looked,do you think the police did a good job
do you think the police did a good job,i dont know i think so
i dont know i think so,it is possible and i know this isnt something you want to hear your daughter may have tried to hide a note where she thought you would eventually find it but where she knew your husband would never find it she might have wanted to tell you something
it is possible and i know this isnt something you want to hear your daughter may have tried to hide a note where she thought you would eventually find it but where she knew your husband would never find it she might have wanted to tell you something,no you dont have any reason to think that
no you dont have any reason to think that,if the police focused their search in her room her belongings well thatd be only natural but they may have been looking in the wrong place
how how can you say that to me,will you let me look
will you let me look,my husband never laid a hand on her she would have told me she would have told me
my husband never laid a hand on her she would have told me she would have told me,youre probably right and i probably wont find anything i dont have a right to ask this and you can kick me out of your house if you want but this is my profession and theres a part of me that cant let it go police are just as human as you or i they could have missed something they probably didnt wouldnt you rather know
you were right i didnt find anything im going to run and get something to eat are you hungry,yes
i think about it everyday but every time the phone rings every single time i still think its her,its been six years
its been six years,what am i supposed to do forget her time heals all wounds right shes all i think about and ive learned to live with that but you want the truth the real truth if i had a choice if i had to choose between her being out there living a good life and being happy and me not knowing never finding out what happened to her or her being dead and me knowing id choose to know
hello,mrs mathews its thomas do you remember i was there a few weeks ago asking about your daughter
mrs mathews its thomas do you remember i was there a few weeks ago asking about your daughter,i remember you just left
i remember you just left,i have to tell you something it wont be easy for you to hear its about your daughter mary anne when i when i was there with you her diary in your attic in silverware if you read it youll know what im telling you is true
what are you talking about,she went to california to los angeles she wanted to start over she wanted to be an actress
she went to california to los angeles she wanted to start over she wanted to be an actress,what
mrs mathews your daughter is dead shes dead,who is this
who is this,someone some men they took your daughter and they drugged her and they took her to a motel room they did terrible things to her
someone some men they took your daughter and they drugged her and they took her to a motel room they did terrible things to her,who are you
who are you,they brought her into the room one man he put a knife to her throat and he raped her
they brought her into the room one man he put a knife to her throat and he raped her,no
no,he raped her andandand he murdered herhe cut her up with knifes
he raped her andandand he murdered herhe cut her up with knifes,no no no
no no no,they killed her and they took her out in the forest somewhere and they buried her
they killed her and they took her out in the forest somewhere and they buried her,why why are you doing this to me
why why are you doing this to me,they murdered her mrs mathews im sorry it happened a month after she ran away shes been dead all this time
yes i remember mary,you you do youre sure please sister will you take another look make sure
you you do youre sure please sister will you take another look make sure,yes i remember her
do you know what happened to her,im trying to find out she was a runaway im looking into it for her parents
what is this,those are her belongings
those are her belongings,her belongings
her belongings,thats her suitcase i had forgotten it till you showed me her picture
whatever possessed you to keep this all this time,she was the kindest sweetest girl youd ever want to meet oh i adored her i supposed i always hoped shed be back after a time all i could do was pray she had moved on to better things can you get this suitcase to her parents if you think its appropriate
she was the kindest sweetest girl youd ever want to meet oh i adored her i supposed i always hoped shed be back after a time all i could do was pray she had moved on to better things can you get this suitcase to her parents if you think its appropriate,ill do what i can
your soninlaw dealt with the dry cleaning franchise during the day saw that woman every night the specifics are in the report and information about the woman its unpleasant i know i apologize,none too discreet is he
none too discreet is he,no sir he is not
no sir he is not,hes an imbecile i tried to warn my daughter but what can you do
the um youll find my invoice in the envelope if thats all,yes mister welles thank you
yes mister welles thank you,certainly senator if i can ever be of further assistance
okay ill take it all,excellent we accept mastercard and american express
excellent we accept mastercard and american express,cash
alright may i have your phone number area code first,no you may not
no you may not,okay fine
im required by state law to inform you that while its perfectly legal for you to purchase these items it is illegal for you to use them for any sort of,yeah i know the spiel if you could bag it ill be on my way thank you
yeah i know the spiel if you could bag it ill be on my way thank you,certainly sir
dont you think it kind of defeats the purpose,what
what,the mirror you cant see yourself in it
the mirror you cant see yourself in it,i dont want to
yeah shed be half as strict as you,but she wouldnt let dad treat me like that
but she wouldnt let dad treat me like that,look you gotta stand up for yourself learn to fight back
ricki cant,never say cant just do what i do
alice you think you can leave,whats wrong
whats wrong,kincaid and joey died last night
kincaid and joey died last night,what
you alright,kristen
i heard you screaming was it a bad one,it was bad
it was bad,doesnt the dream master work for you anymore
doesnt the dream master work for you anymore,i cant find him
hey since when do you play thomas edison this looks like sheilas,it iswas its a zapper it might help me stay awake
it iswas its a zapper it might help me stay awake,yeah or turn you into toast
i cant go back to sleep again,i havent slept much either since kristen
well figure it out,figure it out ill be insane before i figure it out the only thing im sure of is that i cant go to sleep not while hes using me
figure it out ill be insane before i figure it out the only thing im sure of is that i cant go to sleep not while hes using me,then well stay up together
here you are where were you this morning ricks looking all over for you,have you seen joey and kincaid god i cant find them i cant find them anywhere
have you seen joey and kincaid god i cant find them i cant find them anywhere,im sure theyre around
im sure theyre around,yeah im not so sure
i love to dream i just hate ones about my dad,you could do worse
my mom taught me when i was little did you ever hear of the dream master,sounds like a game show host to me
sounds like a game show host to me,no really its a fable the guardian of good dreams it was like my teddy bear when i was growing up
no really its a fable the guardian of good dreams it was like my teddy bear when i was growing up,great you wouldnt happen to know his phone number
i daydream you have to dream about some place fun remember youre in control,howd you learn so much about dreams
howd you learn so much about dreams,when theyre all you have you kinda become an expert
you what,when i used to have nightmares i brought my friends in to help me until they all started dying
kristen what happened,youll hear all kinds of stories theyll tell you it was murder but it wasnt
you in a hurry,i gotta get to the library before it closes killer physics test
i gotta get to the library before it closes killer physics test,i know i hardly have any time to study
i know i hardly have any time to study,maybe you shouldnt be working here so much you dont want to get stuck waiting tables for the rest of your life
maybe you shouldnt be working here so much you dont want to get stuck waiting tables for the rest of your life,i know
ohhhhbaby i am dead on my feet,we have matching luggage
we have matching luggage,what
youve been up all night,that obvious huh
that obvious huh,then you saw him too
then you saw him too,saw who i was up all night cramming for this physics test and i was putting this little baby together look
no,youre his sister right
youre his sister right,rick stayed later after school with kristen she wasnt feeling very well
rick stayed later after school with kristen she wasnt feeling very well,tell him i was looking for him okay im dan
tell him i was looking for him okay im dan,i know uhalice
i thought it was an accident smoking in bed,it was no suicide it was not an accident it was freddy and hes coming back for seconds thirds and fourths
no dont i gave sheila to him and now shes dead,kristens story really got to her
ive been working double shifts,extra money huh
extra money huh,look you know why you just dont believe me
no offense or anything but its kind of hard to swallow,the story is the deaths you cant argue with
how long have you been awake,three days
alright lets assume this whole thing is true why does freddy all of a sudden need you,kristen was the last child left of the people who killed freddy maybe freddy cant get to new kids without someone like me someone to bring them to him
not really,is there something we can do
is there something we can do,i dont think so i guess this is my own war
you dont really get it hes not a nightstalker itll take more than bench presses to beat him,why cant we just talk to the authorities
why cant we just talk to the authorities,yeah right lets trade death by freddy for life in a rubber room adults wont see it they cant
yeah right lets trade death by freddy for life in a rubber room adults wont see it they cant,then what else can we do
then what else can we do,try what other kids did keep each other awake well meet at debbies tonight at least if we dont sleep he cant get us
try what other kids did keep each other awake well meet at debbies tonight at least if we dont sleep he cant get us,who
hes going after debbie i gotta stop him,hey youre not alone we have to stop him im with you
hey youre not alone we have to stop him im with you,you just feel sorry for me
you just feel sorry for me,cut that shit out maybe before but not now i want to help you im on your side
as long as your driving doesnt kill us,its okay were just about there
hes going after debbie i gotta stop him,you know i get the weirdest feeling weve been through this before
here we are,somethings wrong here it feels like
what the hell was that,debbie shes gone ivecollected her like the others
you look great,save it for later come on
rick please,alright i think i see salvation
i think sheilas more interested in dissecting bodies than just admiring them,give her time beauty is skin deep
asthma attackwhat year old has a fatal asthma attack she was gonna be a doctor,it was freddy
it was freddy,enough of that crap
enough of that crap,i saw it it was my dream i brought sheila in
ttthanks alice,earth to alice
hey rick,excuse me ladies ill just be a moment
i dont get it,let me talk to you
so whats up whatd i miss,she told us the story of freddy its a town legend he was a child killer who was freed on a technicality
she told us the story of freddy its a town legend he was a child killer who was freed on a technicality,so
so,it pissed off a lot of parents according to kristen they hunted him down roasted him alive
it pissed off a lot of parents according to kristen they hunted him down roasted him alive,nice neighborhood
nice neighborhood,now it gets weird she says he comes back in dreams if he kills you there youre dead for real
hey man were all sorry,she knew she was gonna die
been up with alice,how she doing i ran into her last night
how she doing i ran into her last night,shes blaming herself for sheila i know how it feels ive been thinking about kristen maybe i couldve stopped it if id listened
shes blaming herself for sheila i know how it feels ive been thinking about kristen maybe i couldve stopped it if id listened,about freddy
about freddy,what else you ever look over this towns history not a safe place to be a teenager anyway if im next watch your back
something the matter with the cuisine,well mom ill tell ya when two of your friends die the same day you let me know what it does to your appetite
well mom ill tell ya when two of your friends die the same day you let me know what it does to your appetite,youre just tired dont think i havent noticed your not sleeping that has to stop honey
whats wrong with me,your distraught itll help
im sorry honey but,sorry sorry that you and your tennis pals torched this guy whos now after me in case you havent been keeping score its his fucking banquet and im the last course
sorry sorry that you and your tennis pals torched this guy whos now after me in case you havent been keeping score its his fucking banquet and im the last course,honey we went over this in therapy
honey we went over this in therapy,mother youve just murdered me take that to your goddamn therapy
something wrong with the stairs,avoidallcontactday
avoidallcontactday,what
what,when dads popping aspiring like popcorn its avoidallcontactday
what is it,oh god he killed them
now you know who and what freddy really is,i though freddy was just an old town story
i though freddy was just an old town story,its no story it happened freddys real and hes back
ill tell you later,its no just a house its his home hes waiting there for meto dream
its no just a house its his home hes waiting there for meto dream,its okay babe were with you
its okay babe were with you,i told you you cant help this isnt a normal nightmare im doomed
feeling better now,yeah i guess so what happened
yeah i guess so what happened,you had a nasty bump
i gotta get out of here,you just stay put you need rest
you just stay put you need rest,you dont get it hes after me
you dont get it hes after me,dont worry honey
excuse us dear,its okay dan
frankly dear we wondered what you intend to do with our baby,what i what well ive thought about it i plan to keep him
look i appreciate what youre offering but no he is my responsibility,and ours its our grandchild
we know youve been through a lot but theres more than your feelings at stake here,youre not taking my baby
heywake up,huh
shouldnt you be in your room jacob,its lonely in there in my room
its lonely in there in my room,my name is
im sorry your boyfriend got killed,how did you know that
how did you know that,i could tell you were sad i just wanted to see if you were all right
hi you dont look very well are you feeling all right,been having bad dreams
is that who youre waiting for,no
i dont think this is a nice place for you to be maybe we should go find your mom,she doesnt want me around
she doesnt want me around,ohim sure thats not true ill bet shes very worried about you i would be
no youre not you dont even care about being a mom how come you dont think about me,who said iwait what
who says i dont like you,my friend with the funny hand
mommy,come on downstairs he wont hurt you he needs us both
where is he,hes inside you where he hides
what do you mean,its where he hides out inside thats how he found me
but how,he says its easy especially with sad people with closedoff people
hi beautiful,jesus dont do that
jesus dont do that,sorry babe
the tickets,theyre coach seats but the plane lands in paris its gonna be a helluva summer hon
theyre coach seats but the plane lands in paris its gonna be a helluva summer hon,i know
okay babe whats the matter,nothingits justi didnt see my father at the ceremony
nothingits justi didnt see my father at the ceremony,hell show up cmon whats really wrong
about him,no well not exactlyits thati felt like i wasnt in control for the first time sinceall that im scared
